student_no,province,age,gender,nationality,religion,f_Educ,father_occupation,m_Educ,mother_occupation,family_size,ordinal_position,family_monthlyIncome,no_members_income,tuition_support,school_expenses,shs_school_type,strand,grade12_cgpa,pr_verbal_language,pr_reading_compre,pr_english,pr_math,pr_non_verbal,pr_basic_cmp,pr_clerical,selected_college_score,course,total_units,institute,performance
20571107,Pampanga,20,F,Filipino,Roman Catholic,College Undergrad/Vocational,Skilled and technical jobs,HS,"artistic, musical, writing",5,Middle,E,None,Self,Parents,Private,TVL,86.04,14,19,27,31,7,46,5,21.05,BSHRM,26,SHTM,high
20627278,Outside,19,F,Filipino,Born Again Christian,College Graduate,Skilled and technical jobs,College Graduate,office and clerical jobs,6,2nd,C,Max of 2,Parents,Parents,Private,ABM,88.5,14,79,27,67,62,92,41,60.0,Accountancy,26,SBA,high
20605577,Pampanga,18,F,Filipino,Roman Catholic,College Undergrad/Vocational,mgmt. sales and entrepreneural occupations,College Graduate,mgmt. sales and entrepreneural occupations,6,2nd,C,Max of 2,Parents,Parents,Private,ABM,87.03,52,73,40,58,52,29,45,55.05,BSBA-MktgMgmt,26,SBA,medium
20607974,Pampanga,18,M,Filipino,Roman Catholic,,Skilled and technical jobs,,mgmt. sales and entrepreneural occupations,4,Eldest,F,Max of 2,Parents,Parents,Private,STEM,86.25,52,96,78,82,24,94,76,76.5,BSCompsci,23,CICT,high
20619145,Outside,19,M,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,mgmt. sales and entrepreneural occupations,6,Eldest,C,Max of 4,Parents,Parents,Public,STEM,93.0,79,73,78,88,86,83,23,75.45,BSAeronautical,25,SEA,high
20568960,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,helping and teaching occupation,4,Eldest,E,Max of 2,Parents,Parents,Public,ABM,92.31,37,91,53,92,91,87,92,79.75,Accountancy,26,SBA,high
20575361,Pampanga,19,F,Filipino,Born Again Christian,,office and clerical jobs,,helping and teaching occupation,6,3rd,D,Max of 4,Parents,Parents,Private,STEM,88.72,94,67,93,50,52,29,82,65.6,CE,25,SEA,high
20602293,Pampanga,18,F,Filipino,Roman Catholic,HS,mgmt. sales and entrepreneural occupations,College Undergraduate/Vocational,office and clerical jobs,5,Youngest,D,Max of 4,Parents,Parents,Public,ABM,89.98,79,88,78,92,95,69,89,85.25,Accountancy,26,SBA,high
20579433,Outside,18,F,Filipino,Baptist,Post Graduate,helping and teaching occupation,College Undergraduate/Vocational,Skilled and technical jobs,3,Only Child,A,Max of 2,Parents,Parents,Private,STEM,93.25,97,99,93,67,32,69,61,76.6,CE,25,SEA,high
20575596,Pampanga,18,M,Filipino,Roman Catholic,HS,Skilled and technical jobs,HS,Skilled and technical jobs,3,Only Child,E,Max of 2,Parents,Parents,Private,STEM,89.5,37,67,67,97,97,69,53,71.8,CE,25,SEA,high
20586925,Pampanga,18,M,Filipino,Born Again Christian,HS,Skilled and technical jobs,Elementary,,4,Youngest,F,Max of 2,Relatives,Relatives,Private,ABM,96.07,97,79,99,95,32,98,26,81.55,Accountancy,26,SBA,high
20581683,Pampanga,18,M,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,scientific and allied medical positions,7,4th,D,Max of 2,Relatives,Relatives,Private,STEM,85.93,87,52,78,67,52,92,79,70.3,ELECENG,25,SEA,medium
20578757,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Undergraduate/Vocational,Skilled and technical jobs,6,2nd,E,Max of 4,Relatives,Parents,Private,TVL,84.83,52,45,27,92,52,61,17,49.85,Criminology,26,CCJEF,high
20635806,Pampanga,18,M,Filipino,Iglesia Ni Cristo,College Graduate,Skilled and technical jobs,Post Graduate,Skilled and technical jobs,5,Eldest,C,Max of 2,Parents,Parents,Private,GAS,83.19,52,24,53,40,62,46,37,41.4,BSCompsci,23,CICT,mlow
20609054,Outside,18,M,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,Skilled and technical jobs,4,Eldest,D,Max of 2,Relatives,Parents,Private,ABM,94.0,24,45,40,82,91,37,76,54.9,Accountancy,26,SBA,high
20602102,Pampanga,18,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Graduate,,4,Eldest,D,None,Parents,Parents,Private,ABM,90.24,52,59,53,50,24,53,33,50.2,Accountancy,26,SBA,high
20570433,Pampanga,19,F,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,College Undergraduate/Vocational,,8,4th,D,Max of 4,Parents,Parents,Private,ABM,92.44,91,91,93,58,24,61,15,65.65,BSAeronautical,25,SEA,high
20577510,Pampanga,18,M,Filipino,Roman Catholic,College Graduate,Skilled and technical jobs,Post Graduate,scientific and allied medical positions,4,Youngest,D,Max of 2,Parents,Parents,Private,STEM,85.86,37,59,17,31,86,61,41,45.6,CE,25,SEA,medium
20567272,Pampanga,19,M,Filipino,Roman Catholic,College Graduate,office and clerical jobs,Post Graduate,office and clerical jobs,6,3rd,C,Max of 4,Parents,Parents,Private,STEM,92.25,87,84,5,97,91,69,5,71.1,BSAeronautical,25,SEA,medium
20604611,Pampanga,19,M,Filipino,Born Again Christian,College Graduate,helping and teaching occupation,College Graduate,office and clerical jobs,4,Eldest,D,Max of 2,Parents,Parents,Public,STEM,89.27,91,79,78,88,97,77,41,77.35,BSITAreaWebDev,23,CICT,high
20598570,Pampanga,18,F,Filipino,Roman Catholic,College Undergrad/Vocational,Skilled and technical jobs,HS,,7,Eldest,F,Max of 4,Relatives,Relatives,Private,ABM,86.47,37,59,78,4,17,69,8,45.25,BSITAreaWebDev,23,CICT,medium
